origin,dest,passengers,distancemiles,origin_name,origin_cbsa,origin_cbsa_name,dest_name,dest_cbsa,dest_cbsa_name
MDW,IAD,81120,577,Chicago Midway International,16980,"Chicago-Naperville-Elgin, IL-IN-WI",Washington Dulles International,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
MIA,BWI,279100,946,Miami International,33100,"Miami-Fort Lauderdale-Pompano Beach, FL",Baltimore/Washington International,12580,"Baltimore-Columbia-Towson, MD"
MYR,BWI,138330,399,Myrtle Beach International,34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",Baltimore/Washington International,12580,"Baltimore-Columbia-Towson, MD"
ORF,BWI,163750,159,Norfolk International,47260,"Virginia Beach-Norfolk-Newport News, VA-NC",Baltimore/Washington International,12580,"Baltimore-Columbia-Towson, MD"
PHX,KOA,72100,2860,Phoenix Sky Harbor International,38060,"Phoenix-Mesa-Chandler, AZ",Kona International Airport at Keahole,25900,"Hilo, HI"
PIT,BWI,101720,210,Pittsburgh International,38300,"Pittsburgh, PA",Baltimore/Washington International,12580,"Baltimore-Columbia-Towson, MD"
PVD,BWI,176670,327,Theodore Francis Green State,39300,"Providence-Warwick, RI-MA",Baltimore/Washington International,12580,"Baltimore-Columbia-Towson, MD"
PWM,BWI,126330,452,Portland International Jetport,38860,"Portland-South Portland, ME",Baltimore/Washington International,12580,"Baltimore-Columbia-Towson, MD"
RDU,BWI,130900,255,Raleigh-Durham International,39580,"Raleigh-Cary, NC",Baltimore/Washington International,12580,"Baltimore-Columbia-Towson, MD"
ROC,BWI,122000,277,Greater Rochester International,40380,"Rochester, NY",Baltimore/Washington International,12580,"Baltimore-Columbia-Towson, MD"
RSW,BWI,156870,919,Southwest Florida International,15980,"Cape Coral-Fort Myers, FL",Baltimore/Washington International,12580,"Baltimore-Columbia-Towson, MD"
SDF,BWI,76860,495,Louisville Muhammad Ali International,31140,"Louisville/Jefferson County, KY-IN",Baltimore/Washington International,12580,"Baltimore-Columbia-Towson, MD"
DEN,RSW,152510,1607,Denver International,19740,"Denver-Aurora-Lakewood, CO",Southwest Florida International,15980,"Cape Coral-Fort Myers, FL"
LAS,BZN,65790,701,McCarran International,29820,"Las Vegas-Henderson-Paradise, NV",Bozeman Yellowstone International,14580,"Bozeman, MT"
BNA,MCI,130620,491,Nashville International,34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",Kansas City International,28140,"Kansas City, MO-KS"
BNA,MKE,88800,475,Nashville International,34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",General Mitchell International,33340,"Milwaukee-Waukesha, WI"
BNA,CHS,75940,439,Nashville International,34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",Charleston AFB/International,16700,"Charleston-North Charleston, SC"
DAL,COS,104570,602,Dallas Love Field,19100,"Dallas-Fort Worth-Arlington, TX",City of Colorado Springs Municipal,17820,"Colorado Springs, CO"
MDW,CHS,61160,745,Chicago Midway International,16980,"Chicago-Naperville-Elgin, IL-IN-WI",Charleston AFB/International,16700,"Charleston-North Charleston, SC"
STL,LAX,123180,1592,St Louis Lambert International,41180,"St. Louis, MO-IL",Los Angeles International,31080,"Los Angeles-Long Beach-Anaheim, CA"
BNA,RSW,49970,722,Nashville International,34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",Southwest Florida International,15980,"Cape Coral-Fort Myers, FL"
BNA,CLE,87460,448,Nashville International,34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",Cleveland-Hopkins International,17460,"Cleveland-Elyria, OH"
BWI,CLE,91820,314,Baltimore/Washington International,12580,"Baltimore-Columbia-Towson, MD",Cleveland-Hopkins International,17460,"Cleveland-Elyria, OH"
LAS,HNL,88370,2762,McCarran International,29820,"Las Vegas-Henderson-Paradise, NV",Daniel K Inouye International,46520,"Urban Honolulu, HI"
MDW,CLE,127550,307,Chicago Midway International,16980,"Chicago-Naperville-Elgin, IL-IN-WI",Cleveland-Hopkins International,17460,"Cleveland-Elyria, OH"
STL,CLE,50290,487,St Louis Lambert International,41180,"St. Louis, MO-IL",Cleveland-Hopkins International,17460,"Cleveland-Elyria, OH"
BNA,CMH,78640,337,Nashville International,34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",John Glenn Columbus International,18140,"Columbus, OH"
MDW,CMH,133580,283,Chicago Midway International,16980,"Chicago-Naperville-Elgin, IL-IN-WI",John Glenn Columbus International,18140,"Columbus, OH"
MDW,TUS,28790,1440,Chicago Midway International,16980,"Chicago-Naperville-Elgin, IL-IN-WI",Tucson International,46060,"Tucson, AZ"
SRQ,CMH,23700,869,Sarasota/Bradenton International,35840,"North Port-Sarasota-Bradenton, FL",John Glenn Columbus International,18140,"Columbus, OH"
STL,PHX,245520,1262,St Louis Lambert International,41180,"St. Louis, MO-IL",Phoenix Sky Harbor International,38060,"Phoenix-Mesa-Chandler, AZ"
BNA,ECP,104990,401,Nashville International,34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",Northwest Florida Beaches International,37460,"Panama City, FL"
BWI,CMH,95430,337,Baltimore/Washington International,12580,"Baltimore-Columbia-Towson, MD",John Glenn Columbus International,18140,"Columbus, OH"
DCA,CMH,111880,323,Ronald Reagan Washington National,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",John Glenn Columbus International,18140,"Columbus, OH"
LAS,CMH,131180,1771,McCarran International,29820,"Las Vegas-Henderson-Paradise, NV",John Glenn Columbus International,18140,"Columbus, OH"
PHX,CMH,146330,1670,Phoenix Sky Harbor International,38060,"Phoenix-Mesa-Chandler, AZ",John Glenn Columbus International,18140,"Columbus, OH"
STL,CMH,57270,409,St Louis Lambert International,41180,"St. Louis, MO-IL",John Glenn Columbus International,18140,"Columbus, OH"
TPA,CMH,122650,829,Tampa International,45300,"Tampa-St. Petersburg-Clearwater, FL",John Glenn Columbus International,18140,"Columbus, OH"
LAS,SBA,85620,289,McCarran International,29820,"Las Vegas-Henderson-Paradise, NV",Santa Barbara Municipal,42200,"Santa Maria-Santa Barbara, CA"
LAS,COS,127670,604,McCarran International,29820,"Las Vegas-Henderson-Paradise, NV",City of Colorado Springs Municipal,17820,"Colorado Springs, CO"
PHX,COS,131770,551,Phoenix Sky Harbor International,38060,"Phoenix-Mesa-Chandler, AZ",City of Colorado Springs Municipal,17820,"Colorado Springs, CO"
HOU,CRP,87150,187,William P Hobby,26420,"Houston-The Woodlands-Sugar Land, TX",Corpus Christi International,18580,"Corpus Christi, TX"
HOU,RSW,10380,853,William P Hobby,26420,"Houston-The Woodlands-Sugar Land, TX",Southwest Florida International,15980,"Cape Coral-Fort Myers, FL"
DEN,GEG,204250,836,Denver International,19740,"Denver-Aurora-Lakewood, CO",Spokane International,44060,"Spokane-Spokane Valley, WA"
MDW,OAK,92230,1844,Chicago Midway International,16980,"Chicago-Naperville-Elgin, IL-IN-WI",Metropolitan Oakland International,41860,"San Francisco-Oakland-Berkeley, CA"
BWI,CVG,79500,430,Baltimore/Washington International,12580,"Baltimore-Columbia-Towson, MD",Cincinnati/Northern Kentucky International,17140,"Cincinnati, OH-KY-IN"
MCO,CVG,230230,757,Orlando International,36740,"Orlando-Kissimmee-Sanford, FL",Cincinnati/Northern Kentucky International,17140,"Cincinnati, OH-KY-IN"
MDW,CVG,97450,249,Chicago Midway International,16980,"Chicago-Naperville-Elgin, IL-IN-WI",Cincinnati/Northern Kentucky International,17140,"Cincinnati, OH-KY-IN"
MDW,TPA,224940,997,Chicago Midway International,16980,"Chicago-Naperville-Elgin, IL-IN-WI",Tampa International,45300,"Tampa-St. Petersburg-Clearwater, FL"
TPA,CVG,104660,773,Tampa International,45300,"Tampa-St. Petersburg-Clearwater, FL",Cincinnati/Northern Kentucky International,17140,"Cincinnati, OH-KY-IN"
ABQ,DAL,166250,580,Albuquerque International Sunport,10740,"Albuquerque, NM",Dallas Love Field,19100,"Dallas-Fort Worth-Arlington, TX"
AUS,LGB,66330,1226,Austin - Bergstrom International,12420,"Austin-Round Rock-Georgetown, TX",Long Beach Airport,31080,"Los Angeles-Long Beach-Anaheim, CA"
BHM,DAL,86230,587,Birmingham-Shuttlesworth International,13820,"Birmingham-Hoover, AL",Dallas Love Field,19100,"Dallas-Fort Worth-Arlington, TX"
DEN,OAK,255070,957,Denver International,19740,"Denver-Aurora-Lakewood, CO",Metropolitan Oakland International,41860,"San Francisco-Oakland-Berkeley, CA"
DEN,DAL,373420,651,Denver International,19740,"Denver-Aurora-Lakewood, CO",Dallas Love Field,19100,"Dallas-Fort Worth-Arlington, TX"
ELP,DAL,167630,562,El Paso International,21340,"El Paso, TX",Dallas Love Field,19100,"Dallas-Fort Worth-Arlington, TX"
HOU,DAL,330610,239,William P Hobby,26420,"Houston-The Woodlands-Sugar Land, TX",Dallas Love Field,19100,"Dallas-Fort Worth-Arlington, TX"
LGA,DAL,169540,1381,LaGuardia,35620,"New York-Newark-Jersey City, NY-NJ-PA",Dallas Love Field,19100,"Dallas-Fort Worth-Arlington, TX"
LGB,DAL,44190,1232,Long Beach Airport,31080,"Los Angeles-Long Beach-Anaheim, CA",Dallas Love Field,19100,"Dallas-Fort Worth-Arlington, TX"
MCO,DAL,268980,973,Orlando International,36740,"Orlando-Kissimmee-Sanford, FL",Dallas Love Field,19100,"Dallas-Fort Worth-Arlington, TX"
OAK,DAL,93190,1468,Metropolitan Oakland International,41860,"San Francisco-Oakland-Berkeley, CA",Dallas Love Field,19100,"Dallas-Fort Worth-Arlington, TX"
OMA,DAL,40340,586,Eppley Airfield,36540,"Omaha-Council Bluffs, NE-IA",Dallas Love Field,19100,"Dallas-Fort Worth-Arlington, TX"
SJC,DAL,80340,1450,Norman Y. Mineta San Jose International,41940,"San Jose-Sunnyvale-Santa Clara, CA",Dallas Love Field,19100,"Dallas-Fort Worth-Arlington, TX"
SLC,DAL,79250,999,Salt Lake City International,41620,"Salt Lake City, UT",Dallas Love Field,19100,"Dallas-Fort Worth-Arlington, TX"
SNA,DAL,41770,1216,John Wayne Airport-Orange County,31080,"Los Angeles-Long Beach-Anaheim, CA",Dallas Love Field,19100,"Dallas-Fort Worth-Arlington, TX"
STL,DAL,185240,546,St Louis Lambert International,41180,"St. Louis, MO-IL",Dallas Love Field,19100,"Dallas-Fort Worth-Arlington, TX"
TPA,DAL,146920,917,Tampa International,45300,"Tampa-St. Petersburg-Clearwater, FL",Dallas Love Field,19100,"Dallas-Fort Worth-Arlington, TX"
AMA,DAL,110770,323,Rick Husband Amarillo International,11100,"Amarillo, TX",Dallas Love Field,19100,"Dallas-Fort Worth-Arlington, TX"
AUS,DAL,224520,189,Austin - Bergstrom International,12420,"Austin-Round Rock-Georgetown, TX",Dallas Love Field,19100,"Dallas-Fort Worth-Arlington, TX"
CMH,DAL,48680,919,John Glenn Columbus International,18140,"Columbus, OH",Dallas Love Field,19100,"Dallas-Fort Worth-Arlington, TX"
COS,DAL,112490,602,City of Colorado Springs Municipal,17820,"Colorado Springs, CO",Dallas Love Field,19100,"Dallas-Fort Worth-Arlington, TX"
DCA,DAL,170500,1184,Ronald Reagan Washington National,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Dallas Love Field,19100,"Dallas-Fort Worth-Arlington, TX"
ECP,DAL,75760,674,Northwest Florida Beaches International,37460,"Panama City, FL",Dallas Love Field,19100,"Dallas-Fort Worth-Arlington, TX"
FLL,DAL,94200,1108,Fort Lauderdale-Hollywood International,33100,"Miami-Fort Lauderdale-Pompano Beach, FL",Dallas Love Field,19100,"Dallas-Fort Worth-Arlington, TX"
IAH,DAL,112030,216,George Bush Intercontinental/Houston,26420,"Houston-The Woodlands-Sugar Land, TX",Dallas Love Field,19100,"Dallas-Fort Worth-Arlington, TX"
LBB,DAL,163100,293,Lubbock Preston Smith International,31180,"Lubbock, TX",Dallas Love Field,19100,"Dallas-Fort Worth-Arlington, TX"
LIT,DAL,90640,296,Adams Field,30780,"Little Rock-North Little Rock-Conway, AR",Dallas Love Field,19100,"Dallas-Fort Worth-Arlington, TX"
MAF,DAL,118770,319,Midland International Air and Space Port,33260,"Midland, TX",Dallas Love Field,19100,"Dallas-Fort Worth-Arlington, TX"
MCI,DAL,193630,461,Kansas City International,28140,"Kansas City, MO-KS",Dallas Love Field,19100,"Dallas-Fort Worth-Arlington, TX"
MDW,DAL,283100,793,Chicago Midway International,16980,"Chicago-Naperville-Elgin, IL-IN-WI",Dallas Love Field,19100,"Dallas-Fort Worth-Arlington, TX"
MSP,DAL,9090,853,Minneapolis-St Paul International,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",Dallas Love Field,19100,"Dallas-Fort Worth-Arlington, TX"
MSY,DAL,246160,436,Louis Armstrong New Orleans International,35380,"New Orleans-Metairie, LA",Dallas Love Field,19100,"Dallas-Fort Worth-Arlington, TX"
ORD,DAL,142660,798,Chicago O'Hare International,16980,"Chicago-Naperville-Elgin, IL-IN-WI",Dallas Love Field,19100,"Dallas-Fort Worth-Arlington, TX"
PHX,DAL,350330,879,Phoenix Sky Harbor International,38060,"Phoenix-Mesa-Chandler, AZ",Dallas Love Field,19100,"Dallas-Fort Worth-Arlington, TX"
PNS,DAL,49190,592,Pensacola Gulf Coast Regional,37860,"Pensacola-Ferry Pass-Brent, FL",Dallas Love Field,19100,"Dallas-Fort Worth-Arlington, TX"
SAT,DAL,277840,247,San Antonio International,41700,"San Antonio-New Braunfels, TX",Dallas Love Field,19100,"Dallas-Fort Worth-Arlington, TX"
TUL,DAL,106360,238,Tulsa International,46140,"Tulsa, OK",Dallas Love Field,19100,"Dallas-Fort Worth-Arlington, TX"
VPS,DAL,44500,630,Eglin AFB Destin Fort Walton Beach,18880,"Crestview-Fort Walton Beach-Destin, FL",Dallas Love Field,19100,"Dallas-Fort Worth-Arlington, TX"
BNA,OAK,27650,1959,Nashville International,34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",Metropolitan Oakland International,41860,"San Francisco-Oakland-Berkeley, CA"
BNA,SRQ,71310,648,Nashville International,34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",Sarasota/Bradenton International,35840,"North Port-Sarasota-Bradenton, FL"
BNA,DCA,231320,562,Nashville International,34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",Ronald Reagan Washington National,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
FLL,DCA,244730,899,Fort Lauderdale-Hollywood International,33100,"Miami-Fort Lauderdale-Pompano Beach, FL",Ronald Reagan Washington National,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
MDW,DCA,180450,601,Chicago Midway International,16980,"Chicago-Naperville-Elgin, IL-IN-WI",Ronald Reagan Washington National,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
STL,DEN,402300,770,St Louis Lambert International,41180,"St. Louis, MO-IL",Denver International,19740,"Denver-Aurora-Lakewood, CO"
STL,DCA,181260,719,St Louis Lambert International,41180,"St. Louis, MO-IL",Ronald Reagan Washington National,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
CMH,DCA,110650,323,John Glenn Columbus International,18140,"Columbus, OH",Ronald Reagan Washington National,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
DAL,DCA,174580,1184,Dallas Love Field,19100,"Dallas-Fort Worth-Arlington, TX",Ronald Reagan Washington National,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
MCO,DCA,496070,759,Orlando International,36740,"Orlando-Kissimmee-Sanford, FL",Ronald Reagan Washington National,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
MKE,DCA,56390,634,General Mitchell International,33340,"Milwaukee-Waukesha, WI",Ronald Reagan Washington National,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
OMA,DCA,42950,1012,Eppley Airfield,36540,"Omaha-Council Bluffs, NE-IA",Ronald Reagan Washington National,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
RSW,DCA,106820,892,Southwest Florida International,15980,"Cape Coral-Fort Myers, FL",Ronald Reagan Washington National,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
STL,BWI,110120,738,St Louis Lambert International,41180,"St. Louis, MO-IL",Baltimore/Washington International,12580,"Baltimore-Columbia-Towson, MD"
TPA,DCA,238860,814,Tampa International,45300,"Tampa-St. Petersburg-Clearwater, FL",Ronald Reagan Washington National,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
BHM,DEN,85970,1083,Birmingham-Shuttlesworth International,13820,"Birmingham-Hoover, AL",Denver International,19740,"Denver-Aurora-Lakewood, CO"
BNA,LGA,370250,764,Nashville International,34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",LaGuardia,35620,"New York-Newark-Jersey City, NY-NJ-PA"
BUR,DEN,191920,850,Bob Hope,31080,"Los Angeles-Long Beach-Anaheim, CA",Denver International,19740,"Denver-Aurora-Lakewood, CO"
BWI,ISP,132790,220,Baltimore/Washington International,12580,"Baltimore-Columbia-Towson, MD",Long Island MacArthur,35620,"New York-Newark-Jersey City, NY-NJ-PA"
CVG,DEN,214950,1069,Cincinnati/Northern Kentucky International,17140,"Cincinnati, OH-KY-IN",Denver International,19740,"Denver-Aurora-Lakewood, CO"
DAL,SRQ,20390,934,Dallas Love Field,19100,"Dallas-Fort Worth-Arlington, TX",Sarasota/Bradenton International,35840,"North Port-Sarasota-Bradenton, FL"
DAL,DEN,360880,651,Dallas Love Field,19100,"Dallas-Fort Worth-Arlington, TX",Denver International,19740,"Denver-Aurora-Lakewood, CO"
ELP,DEN,135400,563,El Paso International,21340,"El Paso, TX",Denver International,19740,"Denver-Aurora-Lakewood, CO"
GEG,DEN,210010,836,Spokane International,44060,"Spokane-Spokane Valley, WA",Denver International,19740,"Denver-Aurora-Lakewood, CO"
HOU,SRQ,34540,789,William P Hobby,26420,"Houston-The Woodlands-Sugar Land, TX",Sarasota/Bradenton International,35840,"North Port-Sarasota-Bradenton, FL"
IND,DEN,270060,977,Indianapolis International,26900,"Indianapolis-Carmel-Anderson, IN",Denver International,19740,"Denver-Aurora-Lakewood, CO"
LAS,DEN,1031750,628,McCarran International,29820,"Las Vegas-Henderson-Paradise, NV",Denver International,19740,"Denver-Aurora-Lakewood, CO"
LGA,DEN,577590,1620,LaGuardia,35620,"New York-Newark-Jersey City, NY-NJ-PA",Denver International,19740,"Denver-Aurora-Lakewood, CO"
MDW,MCO,353770,990,Chicago Midway International,16980,"Chicago-Naperville-Elgin, IL-IN-WI",Orlando International,36740,"Orlando-Kissimmee-Sanford, FL"
MDW,PHL,167820,668,Chicago Midway International,16980,"Chicago-Naperville-Elgin, IL-IN-WI",Philadelphia International,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
MKE,DEN,228930,896,General Mitchell International,33340,"Milwaukee-Waukesha, WI",Denver International,19740,"Denver-Aurora-Lakewood, CO"
SBA,DEN,130540,916,Santa Barbara Municipal,42200,"Santa Maria-Santa Barbara, CA",Denver International,19740,"Denver-Aurora-Lakewood, CO"
SNA,DEN,488960,846,John Wayne Airport-Orange County,31080,"Los Angeles-Long Beach-Anaheim, CA",Denver International,19740,"Denver-Aurora-Lakewood, CO"
STL,FLL,109620,1057,St Louis Lambert International,41180,"St. Louis, MO-IL",Fort Lauderdale-Hollywood International,33100,"Miami-Fort Lauderdale-Pompano Beach, FL"
TUL,DEN,166230,541,Tulsa International,46140,"Tulsa, OK",Denver International,19740,"Denver-Aurora-Lakewood, CO"
TUS,DEN,203990,639,Tucson International,46060,"Tucson, AZ",Denver International,19740,"Denver-Aurora-Lakewood, CO"
ABQ,DEN,241760,349,Albuquerque International Sunport,10740,"Albuquerque, NM",Denver International,19740,"Denver-Aurora-Lakewood, CO"
BUF,DEN,70050,1359,Buffalo Niagara International,15380,"Buffalo-Cheektowaga, NY",Denver International,19740,"Denver-Aurora-Lakewood, CO"
CHS,DEN,77220,1449,Charleston AFB/International,16700,"Charleston-North Charleston, SC",Denver International,19740,"Denver-Aurora-Lakewood, CO"
HDN,DEN,115390,141,Yampa Valley,44460,"Steamboat Springs, CO",Denver International,19740,"Denver-Aurora-Lakewood, CO"
HOU,DEN,279930,883,William P Hobby,26420,"Houston-The Woodlands-Sugar Land, TX",Denver International,19740,"Denver-Aurora-Lakewood, CO"
ICT,DEN,137650,420,Wichita Mid-Continent,48620,"Wichita, KS",Denver International,19740,"Denver-Aurora-Lakewood, CO"
LAS,SMF,537440,397,McCarran International,29820,"Las Vegas-Henderson-Paradise, NV",Sacramento International,40900,"Sacramento-Roseville-Folsom, CA"
LGB,DEN,120810,854,Long Beach Airport,31080,"Los Angeles-Long Beach-Anaheim, CA",Denver International,19740,"Denver-Aurora-Lakewood, CO"
LIT,DEN,93500,771,Adams Field,30780,"Little Rock-North Little Rock-Conway, AR",Denver International,19740,"Denver-Aurora-Lakewood, CO"
MIA,DEN,296910,1709,Miami International,33100,"Miami-Fort Lauderdale-Pompano Beach, FL",Denver International,19740,"Denver-Aurora-Lakewood, CO"
MSY,DEN,275790,1062,Louis Armstrong New Orleans International,35380,"New Orleans-Metairie, LA",Denver International,19740,"Denver-Aurora-Lakewood, CO"
OAK,DEN,250420,957,Metropolitan Oakland International,41860,"San Francisco-Oakland-Berkeley, CA",Denver International,19740,"Denver-Aurora-Lakewood, CO"
OKC,DEN,228640,495,Will Rogers World,36420,"Oklahoma City, OK",Denver International,19740,"Denver-Aurora-Lakewood, CO"
RNO,DEN,252020,804,Reno/Tahoe International,39900,"Reno, NV",Denver International,19740,"Denver-Aurora-Lakewood, CO"
SAN,DEN,667220,853,San Diego International,41740,"San Diego-Chula Vista-Carlsbad, CA",Denver International,19740,"Denver-Aurora-Lakewood, CO"
TPA,DEN,387310,1506,Tampa International,45300,"Tampa-St. Petersburg-Clearwater, FL",Denver International,19740,"Denver-Aurora-Lakewood, CO"
STL,TPA,121560,869,St Louis Lambert International,41180,"St. Louis, MO-IL",Tampa International,45300,"Tampa-St. Petersburg-Clearwater, FL"
BNA,IAH,207440,657,Nashville International,34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",George Bush Intercontinental/Houston,26420,"Houston-The Woodlands-Sugar Land, TX"
MDW,HOU,215170,937,Chicago Midway International,16980,"Chicago-Naperville-Elgin, IL-IN-WI",William P Hobby,26420,"Houston-The Woodlands-Sugar Land, TX"
MDW,SAN,154680,1728,Chicago Midway International,16980,"Chicago-Naperville-Elgin, IL-IN-WI",San Diego International,41740,"San Diego-Chula Vista-Carlsbad, CA"
BNA,DTW,219550,456,Nashville International,34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",Detroit Metro Wayne County,19820,"Detroit-Warren-Dearborn, MI"
BWI,DTW,208200,409,Baltimore/Washington International,12580,"Baltimore-Columbia-Towson, MD",Detroit Metro Wayne County,19820,"Detroit-Warren-Dearborn, MI"
STL,DTW,132460,440,St Louis Lambert International,41180,"St. Louis, MO-IL",Detroit Metro Wayne County,19820,"Detroit-Warren-Dearborn, MI"
HOU,ABQ,77710,759,William P Hobby,26420,"Houston-The Woodlands-Sugar Land, TX",Albuquerque International Sunport,10740,"Albuquerque, NM"
STL,PHL,112780,814,St Louis Lambert International,41180,"St. Louis, MO-IL",Philadelphia International,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
AUS,ELP,143790,528,Austin - Bergstrom International,12420,"Austin-Round Rock-Georgetown, TX",El Paso International,21340,"El Paso, TX"
DEN,ELP,129650,563,Denver International,19740,"Denver-Aurora-Lakewood, CO",El Paso International,21340,"El Paso, TX"
HOU,ELP,104140,677,William P Hobby,26420,"Houston-The Woodlands-Sugar Land, TX",El Paso International,21340,"El Paso, TX"
LAS,ELP,103190,583,McCarran International,29820,"Las Vegas-Henderson-Paradise, NV",El Paso International,21340,"El Paso, TX"
LAX,ELP,81870,715,Los Angeles International,31080,"Los Angeles-Long Beach-Anaheim, CA",El Paso International,21340,"El Paso, TX"
PHX,SJC,305790,621,Phoenix Sky Harbor International,38060,"Phoenix-Mesa-Chandler, AZ",Norman Y. Mineta San Jose International,41940,"San Jose-Sunnyvale-Santa Clara, CA"
AUS,TPA,135110,928,Austin - Bergstrom International,12420,"Austin-Round Rock-Georgetown, TX",Tampa International,45300,"Tampa-St. Petersburg-Clearwater, FL"
HOU,JAX,36860,816,William P Hobby,26420,"Houston-The Woodlands-Sugar Land, TX",Jacksonville International,27260,"Jacksonville, FL"
HOU,TPA,124500,781,William P Hobby,26420,"Houston-The Woodlands-Sugar Land, TX",Tampa International,45300,"Tampa-St. Petersburg-Clearwater, FL"
PHX,ELP,217990,347,Phoenix Sky Harbor International,38060,"Phoenix-Mesa-Chandler, AZ",El Paso International,21340,"El Paso, TX"
SAT,ELP,60410,496,San Antonio International,41700,"San Antonio-New Braunfels, TX",El Paso International,21340,"El Paso, TX"
OAK,SAN,342510,446,Metropolitan Oakland International,41860,"San Francisco-Oakland-Berkeley, CA",San Diego International,41740,"San Diego-Chula Vista-Carlsbad, CA"
LAS,EUG,45780,700,McCarran International,29820,"Las Vegas-Henderson-Paradise, NV",Mahlon Sweet Field,21660,"Eugene-Springfield, OR"
OAK,EUG,76720,445,Metropolitan Oakland International,41860,"San Francisco-Oakland-Berkeley, CA",Mahlon Sweet Field,21660,"Eugene-Springfield, OR"
LAS,FAT,120360,259,McCarran International,29820,"Las Vegas-Henderson-Paradise, NV",Fresno Yosemite International,23420,"Fresno, CA"
BWI,DEN,346890,1491,Baltimore/Washington International,12580,"Baltimore-Columbia-Towson, MD",Denver International,19740,"Denver-Aurora-Lakewood, CO"
HOU,LAS,223600,1235,William P Hobby,26420,"Houston-The Woodlands-Sugar Land, TX",McCarran International,29820,"Las Vegas-Henderson-Paradise, NV"
HOU,SJC,47990,1621,William P Hobby,26420,"Houston-The Woodlands-Sugar Land, TX",Norman Y. Mineta San Jose International,41940,"San Jose-Sunnyvale-Santa Clara, CA"
HOU,FLL,105270,957,William P Hobby,26420,"Houston-The Woodlands-Sugar Land, TX",Fort Lauderdale-Hollywood International,33100,"Miami-Fort Lauderdale-Pompano Beach, FL"
MCO,AUS,314670,994,Orlando International,36740,"Orlando-Kissimmee-Sanford, FL",Austin - Bergstrom International,12420,"Austin-Round Rock-Georgetown, TX"
MSY,FLL,154190,674,Louis Armstrong New Orleans International,35380,"New Orleans-Metairie, LA",Fort Lauderdale-Hollywood International,33100,"Miami-Fort Lauderdale-Pompano Beach, FL"
RDU,FLL,94610,680,Raleigh-Durham International,39580,"Raleigh-Cary, NC",Fort Lauderdale-Hollywood International,33100,"Miami-Fort Lauderdale-Pompano Beach, FL"
BWI,PVD,176540,327,Baltimore/Washington International,12580,"Baltimore-Columbia-Towson, MD",Theodore Francis Green State,39300,"Providence-Warwick, RI-MA"
DAL,FLL,98170,1108,Dallas Love Field,19100,"Dallas-Fort Worth-Arlington, TX",Fort Lauderdale-Hollywood International,33100,"Miami-Fort Lauderdale-Pompano Beach, FL"
DCA,FLL,228950,899,Ronald Reagan Washington National,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Fort Lauderdale-Hollywood International,33100,"Miami-Fort Lauderdale-Pompano Beach, FL"
MDW,FLL,163510,1167,Chicago Midway International,16980,"Chicago-Naperville-Elgin, IL-IN-WI",Fort Lauderdale-Hollywood International,33100,"Miami-Fort Lauderdale-Pompano Beach, FL"
PHX,FLL,51320,1972,Phoenix Sky Harbor International,38060,"Phoenix-Mesa-Chandler, AZ",Fort Lauderdale-Hollywood International,33100,"Miami-Fort Lauderdale-Pompano Beach, FL"
PHX,SNA,487090,338,Phoenix Sky Harbor International,38060,"Phoenix-Mesa-Chandler, AZ",John Wayne Airport-Orange County,31080,"Los Angeles-Long Beach-Anaheim, CA"
PIT,FLL,111660,994,Pittsburgh International,38300,"Pittsburgh, PA",Fort Lauderdale-Hollywood International,33100,"Miami-Fort Lauderdale-Pompano Beach, FL"
